id,name,mimeType,size,modifiedTime,path,parent,type,subtype
1DbPI0NoETR0RWWbY4Wt7UVqEDHdtx1Wh,IMT Bollard Replacement Plan 2025.pdf,application/pdf,1214070,2025-11-19T18:58:42.000Z,MPA/Engineering Documents/2022 Bollard Repair,2022 Bollard Repair,application,pdf
1bXWFpL_96xYwDbdHNQfFNc8KK6bOYg6s,Bid Book.pdf,application/pdf,2305228,2025-11-19T18:58:38.000Z,MPA/Engineering Documents/2017 Fender Replacement Project,2017 Fender Replacement Project,application,pdf
1alxBVIOpDxrnc6WylvxEJEJCX4q9fRh9,Sheet 011 C08 - SitePlan3.pdf,application/pdf,953155,2025-11-19T18:58:45.000Z,MPA/Engineering Documents/AS BUILTS - USE THIS FOLDER/IMT AsBuilt Electrical 12_2015,IMT AsBuilt Electrical 12_2015,application,pdf
1a1ZByMVQ5VjUOIXlqwcB0s2M-rBBcFyo,SBC_MarineTerminal_R10asbuilt.pdf,application/pdf,2120231,2025-11-19T18:58:46.000Z,MPA/Engineering Documents/AS BUILTS - USE THIS FOLDER/IMT AsBuilt RR 12_2015/Railroad Redline pdfs,Railroad Redline pdfs,application,pdf
1JNhBzg3rxjArDBmd9LXyXSZ3pfYRqrBC,Bid Tabulations.pdf,application/pdf,17425,2025-11-19T18:58:38.000Z,MPA/Engineering Documents/2017 Fender Replacement Project,2017 Fender Replacement Project,application,pdf
1h1sDz-ACpllSwe8XLee8aK2uvfzGE-r7,413.004.001 IMT Bollard Repair 12-08-22 (100%).pdf,application/pdf,3481435,2025-11-19T18:58:42.000Z,MPA/Engineering Documents/2022 Bollard Repair,2022 Bollard Repair,application,pdf
1oZ6v4IfPePzWNyjuzNq05grSggahHLio,Bid Amendment 1.pdf,application/pdf,130304,2025-11-19T18:58:38.000Z,MPA/Engineering Documents/2017 Fender Replacement Project,2017 Fender Replacement Project,application,pdf
1pD3s5fppqsYgF3jBiHz0P_PuUw_z9C2b,Bid tabulations.pdf,application/pdf,16198,2025-11-19T18:58:40.000Z,MPA/Engineering Documents/2018 Paving Under Bridge,2018 Paving Under Bridge,application,pdf
1bWjJo3oa0fZFSSUagEnAG0m_IwZ_rGQI,Sheet 078 R08 - TrackPlan-Profile_001.pdf,application/pdf,289392,2025-11-19T18:58:46.000Z,MPA/Engineering Documents/AS BUILTS - USE THIS FOLDER/IMT AsBuilt RR 12_2015,IMT AsBuilt RR 12_2015,application,pdf
1oGqY_3QP-lMhs_Bst72-l0OsCaNTYgqn,IMT AsBuilts Electrical_Existing_E01.pdf,application/pdf,1967586,2025-11-19T18:58:45.000Z,MPA/Engineering Documents/AS BUILTS - USE THIS FOLDER/IMT AsBuilt Electrical 12_2015/Electrical Redline pdfs,Electrical Redline pdfs,application,pdf
19pdvzG8MoW4C5dwOq9jYqoraRwelZR8R,Notice To Contractors.pdf,application/pdf,922326,2025-11-19T18:58:40.000Z,MPA/Engineering Documents/2018 Paving Under Bridge,2018 Paving Under Bridge,application,pdf
16ORr4IdJvBrRXwsRrUZE5cjDhPD2bi1k,Fender Replacement Plan Set.pdf,application/pdf,2404549,2025-11-19T18:58:38.000Z,MPA/Engineering Documents/2017 Fender Replacement Project,2017 Fender Replacement Project,application,pdf
15WbZHuFUhe79g-cm7sQp-0v5EZSH0NMQ,E2X93900_Draft 60% Review Set_2023.01.20.pdf,application/pdf,12869342,2025-11-19T18:58:43.000Z,MPA/Engineering Documents/2023 Reefer Yard Relocation,2023 Reefer Yard Relocation,application,pdf
1pZtQnNPhG_j_NGcOk_jK_reTjzhyVNGv,413.004.001 IMT Bollard Repair 9-27-22.pdf,application/pdf,3038340,2025-11-19T18:58:42.000Z,MPA/Engineering Documents/2022 Bollard Repair,2022 Bollard Repair,application,pdf
1PmzjoBTV_exHwjOm9kYr9w2mibnW7Nw-,IMT - Rubb Building Estimate.pdf,application/pdf,77811,2025-11-19T18:58:42.000Z,MPA/Engineering Documents/2022 Rubb Warehouse Reefer Plugs,2022 Rubb Warehouse Reefer Plugs,application,pdf
1Py4r13Xb1U8tJytkWMe-1g1dPFbESRlf,2022-210 IMT SURVEY - FINAL 10-26-22.pdf,application/pdf,1985211,2025-11-19T18:58:42.000Z,MPA/Engineering Documents/2022 IMT Entire Site Survey (pdf & dwg files),2022 IMT Entire Site Survey (pdf & dwg files),application,pdf
1Bjmn7RVrHi5scKpfqYUUuYRAseZvXJ_h,Proposed Survey Limits for IMT M&O Bldg.pdf,application/pdf,1362625,2025-11-19T18:58:43.000Z,MPA/Engineering Documents/AS BUILTS - USE THIS FOLDER,AS BUILTS - USE THIS FOLDER,application,pdf
19I6LAVL8jrR6nrBjxJfyuTVhVcjCHLaZ,IMT AsBuilts Electrical_VariousConduit_E01.pdf,application/pdf,1980908,2025-11-19T18:58:45.000Z,MPA/Engineering Documents/AS BUILTS - USE THIS FOLDER/IMT AsBuilt Electrical 12_2015/Electrical Redline pdfs,Electrical Redline pdfs,application,pdf
18LiIoVhDXqM7yTT6fVMOInLuxpMsO5fg,IMT_DrainageAsBuilt_SheetC09.pdf,application/pdf,5079464,2025-11-19T18:58:44.000Z,MPA/Engineering Documents/AS BUILTS - USE THIS FOLDER/IMT AsBuilt Drainage 12_2015/Drainage RedLined PDF,Drainage RedLined PDF,application,pdf
1TRI-GgGQOKSIw_uiyJyPc85SHN6l-jGW,sbc IMT GAS Asbuilts.pdf,application/pdf,4873136,2025-11-19T18:58:47.000Z,MPA/Engineering Documents/AS BUILTS - USE THIS FOLDER/IMT GAS Asbuilts C-08,IMT GAS Asbuilts C-08,application,pdf
1WEK_RinzBIRxZOSraHZTa2mBtRJjgCcV,Sheet 027 E01 - Electrical Plan.pdf,application/pdf,327041,2025-11-19T18:58:45.000Z,MPA/Engineering Documents/AS BUILTS - USE THIS FOLDER/IMT AsBuilt Electrical 12_2015,IMT AsBuilt Electrical 12_2015,application,pdf
1kfhX7Z1G4Nybt1DOEHnSrdP25Bo_NTvo,SBC_MarineTerminal_R08asbuilt.pdf,application/pdf,2153874,2025-11-19T18:58:46.000Z,MPA/Engineering Documents/AS BUILTS - USE THIS FOLDER/IMT AsBuilt RR 12_2015/Railroad Redline pdfs,Railroad Redline pdfs,application,pdf
1xIfoJs6gxUZNLqUdWHnJF23AyESSYpu7,2020.07.21 IMT Wharf Drawings - As-Builts Final Reviewed.pdf,application/pdf,11194236,2025-11-19T18:58:43.000Z,MPA/Engineering Documents/AS BUILTS - USE THIS FOLDER,AS BUILTS - USE THIS FOLDER,application,pdf
14F_Dl6jvTq81pyqd2j6Y1RyLH8T5-M18,Plan Holder List.pdf,application/pdf,27437,2025-11-19T18:58:40.000Z,MPA/Engineering Documents/2018 Paving Under Bridge,2018 Paving Under Bridge,application,pdf
1oJh6PMXLKt04HHVj35VtR1chECBO-2N6,IMT Marine Bollard - site visit report 100%.pdf,application/pdf,3744539,2025-11-19T18:58:42.000Z,MPA/Engineering Documents/2022 Bollard Repair,2022 Bollard Repair,application,pdf
1uTNZa0wKWcjcsT7GKmv3ZqkNo3A_Rzq8,Sheet 080 R10 - TrackPlan-Profile_003.pdf,application/pdf,477788,2025-11-19T18:58:46.000Z,MPA/Engineering Documents/AS BUILTS - USE THIS FOLDER/IMT AsBuilt RR 12_2015,IMT AsBuilt RR 12_2015,application,pdf
1qq7O-CK46XovnmIHZtFDuEYZjwVkwa0E,IMT Update_20151119.pdf,application/pdf,428644,2025-11-19T18:58:43.000Z,MPA/Engineering Documents/Americold Concept DWGs,Americold Concept DWGs,application,pdf
1ZulazTI5zALEaLOq2xjme3rOm93gWCw8,Main IMT_20151113.pdf,application/pdf,284532,2025-11-19T18:58:43.000Z,MPA/Engineering Documents/Americold Concept DWGs,Americold Concept DWGs,application,pdf
1FdGYFwndrwBjU4fgPlP9t8mE_-4Hyqvw,Bid Amendment 2.pdf,application/pdf,2001703,2025-11-19T18:58:38.000Z,MPA/Engineering Documents/2017 Fender Replacement Project,2017 Fender Replacement Project,application,pdf
1SOsysPzllVv-4p9Uxh2zE1KzUxbDm84l,Sheet 021 C18 - FencingHydrantLightpoleandBollardGeometrics.pdf,application/pdf,332110,2025-11-19T18:58:45.000Z,MPA/Engineering Documents/AS BUILTS - USE THIS FOLDER/IMT AsBuilt Fencing 12_2015,IMT AsBuilt Fencing 12_2015,application,pdf
16gh23fs6ID6WSIxk4nrkbJO-1CM_a0HZ,IMT AsBuilts H2O and Sanitary.pdf,application/pdf,4843831,2025-11-19T18:58:47.000Z,MPA/Engineering Documents/AS BUILTS - USE THIS FOLDER/IMT H2O SEWER Asbuilts C-08,IMT H2O SEWER Asbuilts C-08,application,pdf
13zDlHujKIoUa6HqTQLNHVRypfD5HKFSa,IMT Marine Bollard - Inspection & Maintenance Plan 100%.pdf,application/pdf,2535438,2025-11-19T18:58:42.000Z,MPA/Engineering Documents/2022 Bollard Repair,2022 Bollard Repair,application,pdf
1wX2VqDuLh4AYzlF0Cbe2LnMi246gbWpL,Notice to contractors.pdf,application/pdf,521971,2025-11-19T18:58:38.000Z,MPA/Engineering Documents/2017 Fender Replacement Project,2017 Fender Replacement Project,application,pdf
1R4nW_qKpaTNd-RszQsZz8b5B2y0KApx5,2220-78G (1).pdf,application/pdf,837845,2025-11-19T18:58:42.000Z,MPA/Engineering Documents/2022 Rubb Warehouse Reefer Plugs,2022 Rubb Warehouse Reefer Plugs,application,pdf
1n6ya_g87bH0nxXuU7ByhUA9XLpC4Khsv,SBC_MarineTerminal_R09asbuilt.pdf,application/pdf,2266620,2025-11-19T18:58:46.000Z,MPA/Engineering Documents/AS BUILTS - USE THIS FOLDER/IMT AsBuilt RR 12_2015/Railroad Redline pdfs,Railroad Redline pdfs,application,pdf
10wA-X14XRogc19H1ITffCpLNdSjbRxYi,Plan Holder List.pdf,application/pdf,7293,2025-11-19T18:58:38.000Z,MPA/Engineering Documents/2017 Fender Replacement Project,2017 Fender Replacement Project,application,pdf
1NYhKjM78OE-7Nz2udubE8JxCYDzTaF5A,Sheet 012 C09 - SiteGradingPlan.pdf,application/pdf,906112,2025-11-19T18:58:44.000Z,MPA/Engineering Documents/AS BUILTS - USE THIS FOLDER/IMT AsBuilt Drainage 12_2015,IMT AsBuilt Drainage 12_2015,application,pdf
1Px4CV4wfXZL4xWJzhEV1w2BvbU9Zqf0l,2216-03C.dwg.pdf,application/pdf,256778,2025-11-19T18:58:42.000Z,MPA/Engineering Documents/2022 Rubb Warehouse Reefer Plugs,2022 Rubb Warehouse Reefer Plugs,application,pdf
11Xr9E2Nk6TD3krq16XZhvaPTfnbzJ88z,IMT AsBuilts Electrical_1.5inchConduit_E01.pdf,application/pdf,1982150,2025-11-19T18:58:45.000Z,MPA/Engineering Documents/AS BUILTS - USE THIS FOLDER/IMT AsBuilt Electrical 12_2015/Electrical Redline pdfs,Electrical Redline pdfs,application,pdf
1cMjXfugfRazYLjQctFUQbjog0cSilVAV,Bid Amendment 2.pdf,application/pdf,2534856,2025-11-19T18:58:40.000Z,MPA/Engineering Documents/2018 Paving Under Bridge,2018 Paving Under Bridge,application,pdf
1cCxULM6JinU9GlLqkkE-23PaNB19seOh,Page from As-Built Site Plans - PDF Scans.pdf,application/pdf,3287981,2025-11-19T18:58:43.000Z,MPA/Engineering Documents/AS BUILTS - USE THIS FOLDER,AS BUILTS - USE THIS FOLDER,application,pdf
108DkCWsLfN1WtUa8NkWr1NxCVkIPEIZg,Sheet C18 Site Utility Plan_ IMT 2011 Project Plans.pdf,application/pdf,820401,2025-11-19T18:58:43.000Z,MPA/Engineering Documents/AS BUILTS - USE THIS FOLDER,AS BUILTS - USE THIS FOLDER,application,pdf
1KGoTJ_fmvEMYgPzc8wbMci2C8VV5XmpO,Bid Amendment 1.pdf,application/pdf,2740699,2025-11-19T18:58:40.000Z,MPA/Engineering Documents/2018 Paving Under Bridge,2018 Paving Under Bridge,application,pdf
1cVrLfNYZumeLg8fIHxIPKzi--ftzuX-E,IMT-Rubb Building Drawings IFB.pdf,application/pdf,1037909,2025-11-19T18:58:43.000Z,MPA/Engineering Documents/2022 Rubb Warehouse Reefer Plugs,2022 Rubb Warehouse Reefer Plugs,application,pdf
1bMEVD6YaiYbGqfjHr-xuoVLEche8NscN,Main IMT.pdf,application/pdf,802714,2025-11-19T18:58:43.000Z,MPA/Engineering Documents/Americold Concept DWGs,Americold Concept DWGs,application,pdf
1BZP_-kGC2EFGs9Rw7lZmpo4zNfVKhtCW,Maine IMT_20151110.pdf,application/pdf,47587,2025-11-19T18:58:43.000Z,MPA/Engineering Documents/Americold Concept DWGs,Americold Concept DWGs,application,pdf
1phIXLqQdnL88IH1GTGX8c_4dKezhag_M,Sheet 079 R09 - TrackPlan-Profile_002.pdf,application/pdf,326409,2025-11-19T18:58:46.000Z,MPA/Engineering Documents/AS BUILTS - USE THIS FOLDER/IMT AsBuilt RR 12_2015,IMT AsBuilt RR 12_2015,application,pdf
1Axb7dL7N5uynScEwBUXvUXKfBjgI-UAm,IMT AsBuilts Fencing 12_20_15.pdf,application/pdf,2274086,2025-11-19T18:58:46.000Z,MPA/Engineering Documents/AS BUILTS - USE THIS FOLDER/IMT AsBuilt Fencing 12_2015/Redline Fencing pdf,Redline Fencing pdf,application,pdf
1CLFHTl9Xk4h1pePSuGzGlIny3QTdnCoZ,Q88363-3.MAINE.PORT.AUTHORITY.QTY.4.6-GANG.PAD.MTD.ROA.ASSY.W.HDG.LEG.ASSY..pdf,application/pdf,96439,2025-11-19T18:58:43.000Z,MPA/Engineering Documents/2022 Rubb Warehouse Reefer Plugs,2022 Rubb Warehouse Reefer Plugs,application,pdf
1pM_r9DhDTw1VdHSay5ID7D0IWK-HTZfC,Bid Book.pdf,application/pdf,2983512,2025-11-19T18:58:40.000Z,MPA/Engineering Documents/2018 Paving Under Bridge,2018 Paving Under Bridge,application,pdf
